month,day,day_of_week,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll7,pm2_5_roll14,pm2_5_std7,pm2_5
12,5,5,347.82,357.38,357.85,359.2457142857143,334.60214285714284,11.999528959003952,347.01
12,5,5,347.01,347.82,357.38,355.45285714285717,337.96285714285716,8.857094546712366,351.48
12,5,5,351.48,347.01,347.82,353.28999999999996,343.145,4.6939961653027975,357.98
12,5,5,357.98,351.48,347.01,354.9071428571429,349.52,6.416368947938413,364.83
12,6,6,364.83,357.98,351.48,356.67285714285714,355.50642857142856,8.667098157749725,370.21
12,6,6,370.21,364.83,357.98,360.7842857142858,360.3385714285714,14.150242468051266,386.16
12,6,6,386.16,370.21,364.83,371.2257142857143,366.2064285714286,25.446810446589268,420.91
12,6,6,420.91,386.16,370.21,385.64142857142855,372.44357142857143,35.88445319288378,447.92
12,6,6,447.92,420.91,386.16,400.56,378.00642857142856,40.69989025374093,455.91
12,6,6,455.91,447.92,420.91,415.4657142857142,384.3778571428571,41.60301545847353,462.32
12,6,6,462.32,455.91,447.92,431.39285714285717,393.15,40.30801562728458,476.32
12,6,6,476.32,462.32,455.91,425.7442857142857,391.2085714285714,51.52155563682048,330.67
12,6,6,330.67,476.32,462.32,413.84714285714284,387.3157142857143,68.87760538672505,302.88
12,6,6,302.88,330.67,476.32,399.3542857142857,385.29,77.30189257216142,319.46
12,6,6,319.46,302.88,330.67,387.8357142857143,386.73857142857145,74.82673649998364,367.29
12,6,6,367.29,319.46,302.88,385.17857142857144,392.8692857142857,72.29386406156658,437.31
12,6,6,437.31,367.29,319.46,389.1271428571428,402.29642857142863,77.75777125455743,489.96
12,6,6,489.96,437.31,367.29,399.38142857142856,415.38714285714286,94.17302186729985,548.1
12,6,6,548.1,489.96,437.31,436.4414285714285,431.09285714285716,111.98641426955447,590.09
12,6,6,590.09,548.1,489.96,478.21714285714285,446.0321428571429,108.34346430284916,595.31
12,6,6,595.31,590.09,548.1,515.4457142857143,457.4,87.46066637011549,580.06
12,6,6,580.06,595.31,590.09,543.4828571428571,465.65928571428566,58.81828789140398,563.55
12,6,6,563.55,580.06,595.31,554.8942857142857,470.03642857142853,39.29512219819807,517.19
12,6,6,517.19,563.55,580.06,549.6414285714286,469.38428571428574,50.330230289084426,453.19
12,6,6,453.19,517.19,563.55,532.3471428571429,465.86428571428576,68.47612788757904,427.04
12,6,6,427.04,453.19,517.19,506.85714285714283,471.6492857142857,76.17616506368257,411.66
12,6,6,411.66,427.04,453.19,478.40999999999997,478.31357142857144,74.80830078718914,396.18
12,6,6,396.18,411.66,427.04,451.44714285714286,483.44642857142856,65.4989403767427,391.32
12,7,0,391.32,396.18,411.66,427.3285714285715,485.4057142857143,45.313071855175416,394.72
12,7,0,394.72,391.32,396.18,412.9871428571428,483.9407142857143,22.044218224803714,416.8
12,7,0,416.8,394.72,391.32,414.6614285714286,482.15142857142854,25.741587900107447,464.91
12,7,0,464.91,416.8,394.72,423.3742857142857,477.8607142857143,38.02213647212198,488.03
12,7,0,488.03,464.91,416.8,429.95142857142855,468.4042857142857,39.60706099866898,457.7
12,7,0,457.7,488.03,464.91,437.6014285714286,458.0057142857143,37.08849930844173,449.73
12,7,0,449.73,457.7,488.03,443.2857142857143,447.36642857142857,31.430693521428942,431.11
